"name","review","clean_review","word_count","sentiment_score","sentiment_category"
"Call of Duty: Modern Warfare II","they ban me for no reason.","they ban me for no reason",6,-5,"Negative"
"Call of Duty: Modern Warfare II","The devs has lost touch with what people want. Profit over gameplay.","the devs has lost touch with what people want profit over gameplay",12,0,"Neutral"
"Call of Duty: Modern Warfare II","i like the game it so amazing for me that all..","i like the game it so amazing for me that all",11,5,"Positive"
"Call of Duty: Modern Warfare II","no idea what they have done recently to the servers for black ops 6 zombies but its horrible. out of 5 games 4 of them i have crashed whiles spending a very long time playing in a match just for the game to crash. not happy...","no idea what they have done recently to the servers for black ops zombies but its horrible out of games of them i have crashed whiles spending a very long time playing in a match just for the game to crash not happy",43,-0.697674418604651,"Negative"
"Call of Duty: Modern Warfare II","game is mid at best. Gunplay is good and thats about it. perks glitching every 2 days maps are shit and players camp a lot. Including me lol. and you get chat banned for saying literally any fucking curse word call of duty has gone soft i miss when you could curse somebody out and have a laugh, now you get voice banned for weeks at a time. so bad just so bad","game is mid at best gunplay is good and thats about it perks glitching every days maps are shit and players camp a lot including me lol and you get chat banned for saying literally any fucking curse word call of duty has gone soft i miss when you could curse somebody out and have a laugh now you get voice banned for weeks at a time so bad just so bad",72,-0.833333333333333,"Negative"
"Call of Duty: Modern Warfare II","i have a bug now where i cant load and the loading screen freezes 8.25/10","i have a bug now where i cant load and the loading screen freezes",14,0,"Neutral"
"Call of Duty: Modern Warfare II","its a good game it give you all the action you want","its a good game it give you all the action you want",12,3.33333333333333,"Positive"
"Call of Duty: Modern Warfare II","The game punishes good, honest players. You pay for skins, you get buffs. You are good with no cheats, your damage and health are lowered. You can get banned for saying ""No h*m*"" but are totally fine saying ni**er. I spelled out the word flaggot and got banned on voice chat. Too easy for cheaters to not get caught by the ""anti-cheat"" software. It's essentially become fortnight military edition, its absolute garbage now. but warzone can still be fun sometimes with an honest lobby.","the game punishes good honest players you pay for skins you get buffs you are good with no cheats your damage and health are lowered you can get banned for saying no h m but are totally fine saying ni er i spelled out the word flaggot and got banned on voice chat too easy for cheaters to not get caught by the anti cheat software it's essentially become fortnight military edition its absolute garbage now but warzone can still be fun sometimes with an honest lobby",87,-1.14942528735632,"Negative"
"Call of Duty: Modern Warfare II","this is a great game if you wnat to have fun and a violen ce game also be ready for the sweats","this is a great game if you wnat to have fun and a violen ce game also be ready for the sweats",22,3.18181818181818,"Positive"
"Call of Duty: Modern Warfare II","I can't in good conscience recommend this. The graphics are worse than Black Ops 2, the skins ruin the entire aesthetic, and it'll be replaced by another in a year.

The zombies mode is fun, but man it has issues.","i can't in good conscience recommend this the graphics are worse than black ops the skins ruin the entire aesthetic and it'll be replaced by another in a year the zombies mode is fun but man it has issues",39,1.02564102564103,"Positive"
"Call of Duty: Modern Warfare II","i would rather have a dog munch on my balls for 16 hours inch by inch than playing againts these sweaty no grass touching gays they munch on eachothers balls fun . Very positive experience if u want to rip your hair off,of your scalp overall rating 10/10 (i was forced by an activision employee sent to my house with a swat team to do the 10/10 rating )","i would rather have a dog munch on my balls for hours inch by inch than playing againts these sweaty no grass touching gays they munch on eachothers balls fun very positive experience if u want to rip your hair off of your scalp overall rating i was forced by an activision employee sent to my house with a swat team to do the rating",65,0.769230769230769,"Positive"
"Call of Duty: Modern Warfare II","fix your fucking game. cant even use heaphones on stereo mode on this shit game. how can a single software developer make better games than AAA studios. ffs. This game was free and I still want my money back!","fix your fucking game cant even use heaphones on stereo mode on this shit game how can a single software developer make better games than aaa studios ffs this game was free and i still want my money back",39,-1.02564102564103,"Negative"
"Call of Duty: Modern Warfare II","I downloaded a 140GB ""game"" and all i got was a launcher and a prompt telling me to download another 150GB for warzone. wtf?","i downloaded a gb game and all i got was a launcher and a prompt telling me to download another gb for warzone wtf",24,-1.66666666666667,"Negative"
"Call of Duty: Modern Warfare II","good game bot a little suck at the servers","good game bot a little suck at the servers",9,0,"Neutral"
"Call of Duty: Modern Warfare II","An amazing shooting game (Story mode is awesome R.I.P soap)","an amazing shooting game story mode is awesome r i p soap",12,5,"Positive"
"Call of Duty: Modern Warfare II","Specs:
RX 9070
Ryzen 5600
32 GB RAM
Installed on 2TB SSD

I've only played Warzone's Casual Battle Royale (150 + bots) and I am enjoying it. However, the game has problems that do hinder the experience.

The short version is if you like COD, have a decent rig, and have friends who want to play Warzone then download and play it. Otherwise you're better off playing something else.

Good:
- Gameplay is fast
- Loads of weapons
- Challenges to do in-between shootouts
- Lots of customisation
- Vehicles speed up traversing the map
- Plenty of unique battlegrounds
- Multiple ways to respawn/revive

Cons:
- Performance is sluggish (all low settings and not getting higher than 110fps)
- Slow load times between matches and respawn states (Running on SSD)
- Map is too big
- Lots of nothing going on
- Game heavily leans on mid to long-range combat so weapons like shotguns are underwhelming
- Grenades and abilities feel useless
- Time to kill is inconsistent
- Challenges are basic 'go here' or 'wait here' missions
- Over 150GB's of storage required (even if only playing warzone)
- Extremely messy and cluttered UI
- Store is completely pointless and full of awful skins","specs rx ryzen gb ram installed on tb ssd i've only played warzone's casual battle royale bots and i am enjoying it however the game has problems that do hinder the experience the short version is if you like cod have a decent rig and have friends who want to play warzone then download and play it otherwise you're better off playing something else good gameplay is fast loads of weapons challenges to do in between shootouts lots of customisation vehicles speed up traversing the map plenty of unique battlegrounds multiple ways to respawn revive cons performance is sluggish all low settings and not getting higher than fps slow load times between matches and respawn states running on ssd map is too big lots of nothing going on game heavily leans on mid to long range combat so weapons like shotguns are underwhelming grenades and abilities feel useless time to kill is inconsistent challenges are basic 'go here' or 'wait here' missions over gb's of storage required even if only playing warzone extremely messy and cluttered ui store is completely pointless and full of awful skins",186,-0.21505376344086,"Negative"
"Call of Duty: Modern Warfare II","very fun i just started 10x better than fortnite one of the best anti cheat systems i have seen no hackers at all","very fun i just started x better than fortnite one of the best anti cheat systems i have seen no hackers at all",23,1.73913043478261,"Positive"
"Call of Duty: Modern Warfare II","The best game to listen to music 
","the best game to listen to music",7,4.28571428571429,"Positive"
"Call of Duty: Modern Warfare II","100 gb for a freaking launcher is crazy, and that doesn't even include the free games, you still have to download warzone, and if you have any paid games, seperately. If you like COD expect to use about 500gb for 2-3 games. Also I'm lazy and use copypasta review templates for most of my reviews soooooooo here also i said it's free cause warzone is but you still have to buy the other games.


---{ Graphics }---
☐ You forget what reality is
☑ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☑ Very good
☐ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☑ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☐ Decent
☑ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☐ Floppy Disk
☐ Old Fashioned
☐ Workable
☐ Big
☐ Will eat 15% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☑ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☑ Easy to learn / Hard to master
☐ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☑ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☑ No Story
☐ Some lore
☐ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☑ Long
☐ To infinity and beyond

---{ Price }---
☑ It's free!
☐ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☑ Never heard of
☐ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☑ 8
☐ 9
☐ 10

---{ Author }---
☑ https://vojtastruhar.github.io/steam-review-template 

Still recommend but only if you have a 500GB-1TB hard drive dedicated to it.","gb for a freaking launcher is crazy and that doesn't even include the free games you still have to download warzone and if you have any paid games seperately if you like cod expect to use about gb for games also i'm lazy and use copypasta review templates for most of my reviews soooooooo here also i said it's free cause warzone is but you still have to buy the other games graphics you forget what reality is beautiful good decent bad don t look too long at it ms dos gameplay very good good it's just gameplay mehh watch paint dry instead just don't audio eargasm very good good not too bad bad i'm now deaf audience kids teens adults grandma pc requirements check if you can run paint potato decent fast rich boi ask nasa if they have a spare computer game size floppy disk old fashioned workable big will eat of your tb hard drive you will want an entire hard drive to hold it you will need to invest in a black hole to hold all the data difficulty just press 'w' easy easy to learn hard to master significant brain usage difficult dark souls grind nothing to grind only if u care about leaderboards ranks isn't necessary to progress average grind level too much grind you'll need a second life for grinding story no story some lore average good lovely it'll replace your life game time long enough for a cup of coffee short average long to infinity and beyond price it's free worth the price if it's on sale if u have some spare money left not recommended you could also just burn your money bugs never heard of minor bugs can get annoying ark survival evolved the game itself is a big terrarium for bugs author still recommend but only if you have a gb tb hard drive dedicated to it",318,0.566037735849057,"Positive"
"Call of Duty: Modern Warfare II","thus shi makes me wanna buy a shotgun and 1 single shell and just blow my shi smooth off twin.","thus shi makes me wanna buy a shotgun and single shell and just blow my shi smooth off twin",19,0,"Neutral"
"Call of Duty: Modern Warfare II","Membazir masa dan menjadikan orang islam tidak mengaji dan melewatkan solat.. semoga bertaubat","membazir masa dan menjadikan orang islam tidak mengaji dan melewatkan solat semoga bertaubat",13,0,"Neutral"
"Call of Duty: Modern Warfare II","117GB for a launcher is insane. Doesnt even install anything with it. THEY'RE ALL SEPARATE","gb for a launcher is insane doesnt even install anything with it they're all separate",15,-1.33333333333333,"Negative"
"Call of Duty: Modern Warfare II","to many sweats  but fun to play:D
","to many sweats but fun to play d",8,5,"Positive"
"Call of Duty: Modern Warfare II","so more heavier than wz2 for i3 10105F
","so more heavier than wz for i f",8,0,"Neutral"
"Call of Duty: Modern Warfare II","there is alot of sweats but it is not that bad from when you start out the game","there is alot of sweats but it is not that bad from when you start out the game",18,-1.66666666666667,"Negative"
"Call of Duty: Modern Warfare II","Be sensible, don't buy BO7, if you want just buy the older COD/BF games or buy BF6","be sensible don't buy bo if you want just buy the older cod bf games or buy bf",18,0.555555555555556,"Positive"
"Call of Duty: Modern Warfare II","I love cod but everyone is hating until they play the game","i love cod but everyone is hating until they play the game",12,0,"Neutral"
"Call of Duty: Modern Warfare II","Game is a hot mess every update breaks more than it fixes and every game plays as if money on the line","game is a hot mess every update breaks more than it fixes and every game plays as if money on the line",22,-0.909090909090909,"Negative"
"Call of Duty: Modern Warfare II","The pros do not outway the cons of this game.
+ it's straightforward
+ zombies is great fun
+ good for a few rounds

- it's becoming fortnite because skins skins skins
- the game is 250 GB, I mean...
- every week or so there is an update of 20 GB
- battle pass is annoying, because you can't earn the in game currency back it requires","the pros do not outway the cons of this game it's straightforward zombies is great fun good for a few rounds it's becoming fortnite because skins skins skins the game is gb i mean every week or so there is an update of gb battle pass is annoying because you can't earn the in game currency back it requires",59,1.1864406779661,"Positive"
"Call of Duty: Modern Warfare II","this is the beast game ever i love this game","this is the beast game ever i love this game",10,3,"Positive"
"Call of Duty: Modern Warfare II","I just downloaded this 120GB only to find out it has NO GAME INSIDE!!","i just downloaded this gb only to find out it has no game inside",14,-0.714285714285714,"Negative"
"Call of Duty: Modern Warfare II","Game is shit way too laggy can't even drop without getting shot out of the air","game is shit way too laggy can't even drop without getting shot out of the air",16,-3.125,"Negative"
"Call of Duty: Modern Warfare II","ts pmo, only playing to do everything but prob gonna drop after bo7 comes out. Massive L cod again","ts pmo only playing to do everything but prob gonna drop after bo comes out massive l cod again",19,-0.526315789473684,"Negative"
"Call of Duty: Modern Warfare II","PERSONALLY i love this game but i did find it tricky to get used to","personally i love this game but i did find it tricky to get used to",15,2,"Positive"
"Call of Duty: Modern Warfare II","have not been able to play in weeks do due a Travis Rilea error.","have not been able to play in weeks do due a travis rilea error",14,-1.42857142857143,"Negative"
"Call of Duty: Modern Warfare II","Maps are pretty bland and repetitive, Movement is almost excessive to anyone but the adderal lined nostrils of leet gamers.... And the sheer amount of micro transactions ruin the in game experience and that is to say nothing of the ridiculous file size. Nearly 400gigs of a soulless game.","maps are pretty bland and repetitive movement is almost excessive to anyone but the adderal lined nostrils of leet gamers and the sheer amount of micro transactions ruin the in game experience and that is to say nothing of the ridiculous file size nearly gigs of a soulless game",49,-0.816326530612245,"Negative"
"Call of Duty: Modern Warfare II","I would really recommend to play this game if you want to get a aggresive 4 stage testicular cancer. Free Kanye arrest Ye","i would really recommend to play this game if you want to get a aggresive stage testicular cancer free kanye arrest ye",22,0.454545454545455,"Positive"
"Call of Duty: Modern Warfare II","It's gritty fortnight. I'm not sure who the target demographic is, but it's somebody. I play with my girlfriend, but if not for her, I'd never touch it again. Also, with the new ""anti-cheat"" stuff going off so poorly, they're going to ban half their pc base because their software is inadequate. And yes, I have TPM 2.0 and Secureboot both active. I still get the notification that they aren't. All drivers are up to date. No other game has these issues.","it's gritty fortnight i'm not sure who the target demographic is but it's somebody i play with my girlfriend but if not for her i'd never touch it again also with the new anti cheat stuff going off so poorly they're going to ban half their pc base because their software is inadequate and yes i have tpm and secureboot both active i still get the notification that they aren't all drivers are up to date no other game has these issues",82,-1.09756097560976,"Negative"
"Call of Duty: Modern Warfare II","I bought this game on steam years ago, logged 25 hours on it, but now can't launch it and some error message claims ""no licenses"".

Pre-ordering Battlefield now.","i bought this game on steam years ago logged hours on it but now can't launch it and some error message claims no licenses pre ordering battlefield now",28,-1.07142857142857,"Negative"
"Call of Duty: Modern Warfare II","this games a piece of shit can't even log the fuck in","this games a piece of shit can't even log the fuck in",12,-5,"Negative"
"Call of Duty: Modern Warfare II","A time-wasting series. I do not advise anyone to spend a single dollar on this failed series, which belongs to the exploitative company Activision.","a time wasting series i do not advise anyone to spend a single dollar on this failed series which belongs to the exploitative company activision",25,-1.6,"Negative"
"Call of Duty: Modern Warfare II","retards who get ZERO game no lfe this game.","retards who get zero game no lfe this game",9,-1.11111111111111,"Negative"
"Call of Duty: Modern Warfare II","imagine hating what cod has become, you leave the game for 3+ years and then come back to play some wz with co-workers that are going through a tough time.... you naai mense l/r/center and after spending a K on a poes game you have to get kicked out to verify files, but the poes bots and hckrs continue.... this is why i stoped playing as this is a dying legacy... much like tyson and jake paul
","imagine hating what cod has become you leave the game for years and then come back to play some wz with co workers that are going through a tough time you naai mense l r center and after spending a k on a poes game you have to get kicked out to verify files but the poes bots and hckrs continue this is why i stoped playing as this is a dying legacy much like tyson and jake paul",79,-0.632911392405063,"Negative"
"Call of Duty: Modern Warfare II","Just uninstalled this piece of shit, worst call of duty ever. Ranked is absolutely awful. Half the time you are trying to regain your SR from crashes and dumbass dev errors that have been in the game since launch. Fuck this dogshit game and fuck activision.","just uninstalled this piece of shit worst call of duty ever ranked is absolutely awful half the time you are trying to regain your sr from crashes and dumbass dev errors that have been in the game since launch fuck this dogshit game and fuck activision",46,-4.1304347826087,"Negative"
"Call of Duty: Modern Warfare II","If you Like COD, This is COD...","if you like cod this is cod",7,2.85714285714286,"Positive"
"Call of Duty: Modern Warfare II","If you have fun having your gameplay be altered and controlled for monetary gain then this is the game for you!!!!!","if you have fun having your gameplay be altered and controlled for monetary gain then this is the game for you",21,2.85714285714286,"Positive"
"Call of Duty: Modern Warfare II","very bad game that give me ban after 1k and 300 hrs in game and steam for nothing 
i just played ranked and never cheat . anti cheat here not working well . giving you ban after some reports from players without any prove or check even","very bad game that give me ban after k and hrs in game and steam for nothing i just played ranked and never cheat anti cheat here not working well giving you ban after some reports from players without any prove or check even",44,-2.04545454545455,"Negative"
"Call of Duty: Modern Warfare II","If you seriously need to read a review for a... COD game

Are you living in a rock?

Nah, stop it. We dont need your validation to tell me or anyone else how bad this game is. 

WE. KNOW. 

Just stop. 

You dont like it? Well dont read the review then? Why are you here?

Seriously, we dont need you to tell us how bad the game is, how stupid the microtransaction and skins, WE. KNOW.

Just go, go play your own game, let us play our own game. Easy right?","if you seriously need to read a review for a cod game are you living in a rock nah stop it we dont need your validation to tell me or anyone else how bad this game is we know just stop you dont like it well dont read the review then why are you here seriously we dont need you to tell us how bad the game is how stupid the microtransaction and skins we know just go go play your own game let us play our own game easy right",91,-0.32967032967033,"Negative"
"Call of Duty: Modern Warfare II","a lot of cheaters and lag in the server","a lot of cheaters and lag in the server",9,-4.44444444444444,"Negative"
"Call of Duty: Modern Warfare II","This game does not respect the player.","this game does not respect the player",7,2.85714285714286,"Positive"
"Call of Duty: Modern Warfare II","definitly not as good as previous cods but its alright
","definitly not as good as previous cods but its alright",10,3,"Positive"
"Call of Duty: Modern Warfare II","took almost 3hrs to only play 3 match","took almost hrs to only play match",7,0,"Neutral"
"Call of Duty: Modern Warfare II","Honestly, I thought this game was going to be worth it but the amount of time I have spent. I really wish it was put into another game. This game has constant bugs, crashes 3-4 times a day and I've been trying to update this and update that all night, this game is not what COD should've become I grew up playing the old COD 4 and loved it, but this... is a waste of time. I just am not looking forward to BO7, because I know it'll be the same thing where it crashes constantly and I will not have enjoyment. To this day I still hop on BF4 and BF1 and I have had 0 issues! BF6 for the win.  :[]","honestly i thought this game was going to be worth it but the amount of time i have spent i really wish it was put into another game this game has constant bugs crashes times a day and i've been trying to update this and update that all night this game is not what cod should've become i grew up playing the old cod and loved it but this is a waste of time i just am not looking forward to bo because i know it'll be the same thing where it crashes constantly and i will not have enjoyment to this day i still hop on bf and bf and i have had issues bf for the win",119,0.756302521008403,"Positive"
"Call of Duty: Modern Warfare II","Trash. Full of cheaters and goofy skins.","trash full of cheaters and goofy skins",7,-5,"Negative"
"Call of Duty: Modern Warfare II","everyone and their mother love to sit in corners with shotguns and stroke their e peen

10/10 would recommend if your looking to kys","everyone and their mother love to sit in corners with shotguns and stroke their e peen would recommend if your looking to kys",23,2.17391304347826,"Positive"
"Call of Duty: Modern Warfare II","okay its good if you play max grapics and a good pc like 4070 and higher with ryzen 7 and higer but with bad devices like ps5 then no it sucks","okay its good if you play max grapics and a good pc like and higher with ryzen and higer but with bad devices like ps then no it sucks",29,-0.689655172413793,"Negative"
"Call of Duty: Modern Warfare II","cod is absolutely dead. treyarch/sledgehammer only care about money and it shows. SO many cheaters and a lot of bugs. they would rather drop a $20 shitty skin bundle than fix whats left of the hollow soul Call Of Duty once was. can we go back to when the put time into this game and it wasn't just a reskin of the year before? this game needs to fully die for activision to realize this game is terrible :/","cod is absolutely dead treyarch sledgehammer only care about money and it shows so many cheaters and a lot of bugs they would rather drop a shitty skin bundle than fix whats left of the hollow soul call of duty once was can we go back to when the put time into this game and it wasn't just a reskin of the year before this game needs to fully die for activision to realize this game is terrible",78,-1.92307692307692,"Negative"
"Call of Duty: Modern Warfare II","its not for everyone but if you really are into it give it a go!","its not for everyone but if you really are into it give it a go",15,0,"Neutral"
"Call of Duty: Modern Warfare II","What's the point in removing carry forward when you could've added a skin filter to the next game instead","what's the point in removing carry forward when you could've added a skin filter to the next game instead",19,0,"Neutral"
"Call of Duty: Modern Warfare II","dosnt work half th etime and they remove any fun game modes","dosnt work half th etime and they remove any fun game modes",12,3.33333333333333,"Positive"
"Call of Duty: Modern Warfare II","Full of cheaters, console auto-aim morons, players flying like monkeys above you cause of the game's ""movement"".","full of cheaters console auto aim morons players flying like monkeys above you cause of the game's movement",18,-0.555555555555556,"Negative"
"Call of Duty: Modern Warfare II","new anticheat update bricked my multiplayer, fuck this new wave of lazy companies putting the onus on us to change settings and shit cause theyre too dumb to make working anticheat","new anticheat update bricked my multiplayer fuck this new wave of lazy companies putting the onus on us to change settings and shit cause theyre too dumb to make working anticheat",31,-3.87096774193548,"Negative"
"Call of Duty: Modern Warfare II","Where to start?
If you like constant software patches, game crashes, random disconnects, lobbies with no audio, stupid fortnite skins, lobbys filled with cheaters and my personal favorite CHAT BANS; Then this is the game for you! 
I knew they were going to fail us, as they always do but man oh man if their level of failing was gradable id say they did a solid B+.","where to start if you like constant software patches game crashes random disconnects lobbies with no audio stupid fortnite skins lobbys filled with cheaters and my personal favorite chat bans then this is the game for you i knew they were going to fail us as they always do but man oh man if their level of failing was gradable id say they did a solid b",67,-0.597014925373134,"Negative"
"Call of Duty: Modern Warfare II","
Activision: 
Here comes the money (here we go, money talks)
Here comes the money
Money, money, money, money
Money, money, money, money, money (dolla dolla, dolla dolla)
Ching ching, bling bling, cut the chatter
You ain't talkin' money, then your talking don't matter
Ching ching, bling bling, pattin' pockets
We take the dolla dolla, can't a damn soul stop it
Shock it (uh)
Here comes the new kid on the block
Hold all your bets, here's where the buck stops
See first of all, I'm steppin' out on my own
'Bout time I elevated to claim my own thrown
Success in my blood, call it home grown
Pores reekin' testosterone
Power and money got me crazy, cocky
No longer need you, papi
I know you're mad because you can't stop me
And if you wonder how this playa done scooped your honey
I think she smelled my cologne, it's called brand new money
Making major moves, man, ain't a damn thing funny
Pimpin' hood rats to playboy bunnies, they see the
Money, money, money, money
Money, money, money, money, money
(They see it, they see it)
Money, money, money, money
Money, money, money, money, money
(Say what? Say what? Say what? Money)
I'm global dolla dolla and roll with 'bout fifty
Like to go out smelling fresh and lookin' spiffy
Don't like clean money, I want my rich to be filthy
Plus with the retirement fund I can't touch 'til I'm sixty?
So what am I supposed to do? Rollin' through
Steady paddin' them pockets, 'till I'm stackin', holdin' too
Ching ching, bling bling, catchin' cash in lumps
It's a cold world, get a jacket, I'm selling 'em out my trunk
Whenever, whatever it takes to shake down a dolla
More dough in that direction, wait a minute, holla, holla
All wants to know, where they go, where they went
In a mink on Monday, smellin' just like a mint
Money, money, money, money
Money, money, money, money, money (uh, money)
Money, money, money, money
Money, money, money, money, money (nanana, nanana)
If you can't see the money
Get your eyes cleaned with Visine
I need fine things, plus seven digits at a time, team
My chil'ren chillin, the best, never worst
See, we never give them pebbles they get the rocks first
Bank vaults on lock'n, ching-ching, we're mockin'
I'm rockin', my family's Christmas stockings are shockin'
Fine women, any weather, naughty denim and leather
Call a chicken whatever, son, they get better
I'm one smart cookie, the vet that smacks rookies
My stocks on top, your checks bounce while mine boogie
Wrists, I must rock it, chicks stop it, I knock it
Cash looks like I got a gang of fists in my pocket
Here comes the money (fists in my, fists in my pocket, fists in my pocket)
Here comes the money
Money, money, money, money
Money, money, money, money, money","activision here comes the money here we go money talks here comes the money money money money money money money money money money dolla dolla dolla dolla ching ching bling bling cut the chatter you ain't talkin' money then your talking don't matter ching ching bling bling pattin' pockets we take the dolla dolla can't a damn soul stop it shock it uh here comes the new kid on the block hold all your bets here's where the buck stops see first of all i'm steppin' out on my own 'bout time i elevated to claim my own thrown success in my blood call it home grown pores reekin' testosterone power and money got me crazy cocky no longer need you papi i know you're mad because you can't stop me and if you wonder how this playa done scooped your honey i think she smelled my cologne it's called brand new money making major moves man ain't a damn thing funny pimpin' hood rats to playboy bunnies they see the money money money money money money money money money they see it they see it money money money money money money money money money say what say what say what money i'm global dolla dolla and roll with 'bout fifty like to go out smelling fresh and lookin' spiffy don't like clean money i want my rich to be filthy plus with the retirement fund i can't touch 'til i'm sixty so what am i supposed to do rollin' through steady paddin' them pockets 'till i'm stackin' holdin' too ching ching bling bling catchin' cash in lumps it's a cold world get a jacket i'm selling 'em out my trunk whenever whatever it takes to shake down a dolla more dough in that direction wait a minute holla holla all wants to know where they go where they went in a mink on monday smellin' just like a mint money money money money money money money money money uh money money money money money money money money money money nanana nanana if you can't see the money get your eyes cleaned with visine i need fine things plus seven digits at a time team my chil'ren chillin the best never worst see we never give them pebbles they get the rocks first bank vaults on lock'n ching ching we're mockin' i'm rockin' my family's christmas stockings are shockin' fine women any weather naughty denim and leather call a chicken whatever son they get better i'm one smart cookie the vet that smacks rookies my stocks on top your checks bounce while mine boogie wrists i must rock it chicks stop it i knock it cash looks like i got a gang of fists in my pocket here comes the money fists in my fists in my pocket fists in my pocket here comes the money money money money money money money money money money",485,0.0824742268041237,"Positive"
"Call of Duty: Modern Warfare II","If you manage to fix Humene Negev error pls lmk this game is dumb asf","if you manage to fix humene negev error pls lmk this game is dumb asf",15,-3.33333333333333,"Negative"
